Days,RushHour,Weather,Temperature,Humidity,Density
5,1,0.25,0.77,0.16,3
5,1,0.25,0.77,0.16,3
5,0,0.25,0.77,0.16,2
5,0,0.25,0.771,0.16,3
5,0,0.25,0.771,0.16,3
5,0,0.25,0.77,0.16,3
5,0,0.25,0.77,0.16,2
5,0,0.25,0.77,0.16,3
5,0,0.38,0.772,0.15,3
5,0,0.38,0.772,0.15,2
5,0,0.38,0.772,0.15,3
5,0,0.38,0.772,0.15,2
5,0,0.38,0.772,0.15,2
5,0,0.38,0.772,0.15,2
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.761,0.55,0
6,1,0.5,0.761,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,0
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,2
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,1
6,1,0.5,0.76,0.55,2
6,1,0.5,0.76,0.55,2
6,1,0.5,0.76,0.55,2
6,1,0.5,0.76,0.55,2
6,1,0.5,0.76,0.55,2
6,0,0.5,0.76,0.55,2
6,0,0.5,0.76,0.55,2
6,0,0.5,0.76,0.55,3
6,0,0.5,0.76,0.55,2
6,0,0.5,0.76,0.55,2
6,0,0.5,0.76,0.55,3
6,0,0.5,0.76,0.55,3
6,0,0.5,0.721,0.42,3
6,0,0.5,0.721,0.42,3
6,0,0.5,0.721,0.42,3
6,0,0.5,0.721,0.42,3
6,0,0.5,0.72,0.42,3
6,0,0.5,0.72,0.42,3
6,0,0.5,0.72,0.42,3
6,0,0.5,0.72,0.42,3
6,0,0.5,0.72,0.42,3
6,0,0.5,0.72,0.42,3
6,0,0.5,0.72,0.42,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.715,0.43,3
6,0,0.62,0.72,0.41,3
6,0,0.62,0.72,0.41,3
6,0,0.62,0.72,0.41,3
6,0,0.62,0.72,0.41,3
6,0,0.62,0.72,0.41,3
6,0,0.5,0.716,0.42,3
6,0,0.5,0.717,0.42,3
6,0,0.5,0.717,0.42,3
6,0,0.5,0.717,0.42,3
6,0,0.5,0.716,0.42,3
6,0,0.5,0.716,0.42,3
6,0,0.5,0.716,0.42,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.724,0.37,3
6,0,0.5,0.724,0.37,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.725,0.37,3
6,0,0.5,0.735,0.31,3
6,0,0.5,0.735,0.31,3
6,0,0.5,0.735,0.31,3
6,0,0.5,0.735,0.31,3
6,0,0.5,0.735,0.31,3
